Category,Card Name,Answer,Incorrect 1,Incorrect 2,Incorrect 3
Horror,What Species is the monster from Alien? ,Xenomorph,Predator,Martian,Clown
Horror,Who is the killer in the original Friday the 13th? ,Pamela Voorhees,Jason Voorhees,Michael Myers,Freddy Krueger
Horror,Who were the killers in the first Scream movie? ,Billy Loomis and Stu Macher,Sydney Prescott and Billy Loomis,Randy Meeks and Stu Macher,Sydney Prescott and Randy Meeks
Horror,What is the name of the main character in Scream 1-4? ,Sydney Prescott,Randy Meeks,Gale Weathers,Dewey Riley
Horror,Who is the actor that plays Freddy Krueger in the original Nightmare on Elm Street? ,Robert Englund,Kane Hodder,Wes Craven,Kevin Bacon
Horror,What is Chucky's real name? ,Charles Lee Ray,Charleston Entertainment Cheese the 3rd,Charlie Gray,Chuckles
Horror,What movie series is Pinhead from? ,Hellraiser,Tremors,Nightmare on Elm Street,The Cube
Horror,What game series is The Umbrella Corporation from? ,Resident Evil,Little Nightmares,Outlast,Amnesia
Horror,What is the name of the character you play as in Little Nightmares? ,Six,Mono,Four,Chrome
Horror,How many predators are in the original Predator? ,One,Two,Three,None
Horror,How many killers were in the first season of Scream: The TV Series? ,Two,One,Three,Four
Horror,Who is the killer in Halloween? ,Michael Myers,Jason Voorhees,Freddy Krueger,Ghostface
Horror,What sort of doll is Chucky? ,Good Guy Doll,Bad Guy Doll,Barbie Doll,Not actually a real doll
Horror,What movie franchise is the Graboid from? ,Tremors,Alien,Predator,Slither
Horror,Who do you play as in Bendy and the Ink Machine? ,Henry Stein,Joey Drew,Bendy,Boris
Horror,What is the name of the Yellow Rabbit in Five Night's at Freddy's 3? ,Springtrap,Freddy,Bonnie,Springlock
Horror,Who does Tony Todd play in The Final Destination movies? ,The Coroner / William Bludworth,Antagonist / Death,Main Character / Freddy Crews,Background Character / Nameless
Horror,What is Leatherface's mask made out of? ,Human faces,Leather,Fabric,Plastic
Horror,What horror movie character does Jason Voorhees fight? ,Freddy Krueger,Predator,Xenomorph,Chucky
Horror,What horror Monster fights the predator in AVP? ,Xenomorph,Martian,Brightburn,The Thing
