Category,Card Name,Answer,Incorrect 1,Incorrect 2,Incorrect 3
TV / Movies,Who is the main character in Alien? ,Ellen Ripley,The Xenomorph,Arthur Dallas,Ash
TV / Movies,What is the name of the Resident Evil movie released in 2021? ,Resident Evil: Welcome to Raccoon City,Resident Evil: The Final Chapter,Resident Evil,Resident Evil: Afterlife
TV / Movies,What year did the first Hunger Games movie come out? ,2012,2010,2011,2013
TV / Movies,Who played Spiderman in the original film trilogy? ,Tobey Maguire,Andrew Garfield,Sam Raimi,Tom Holland
TV / Movies,What is the name of the paper company in The Office U.S? ,Dunder Mifflin Paper Company,Michael Scott Paper Corporation,Dwight Schrute Paper Company,Jim Halpert Paper Corporation
TV / Movies,What animal is Gumball in The Amazing World of Gumball? ,Cat,Hampster,Dog,Fish
TV / Movies,Which South Park character wears a red jacket and blue beanie? ,Cartman,Kenny,Stan,Kyle
TV / Movies,What year did Two and a Half Men premier?,2003,2002,2004,2001
TV / Movies,What is the name of the car in the Back to the Future movies?,DMC DeLorean,Toyata Camry Solara,Volkswagon Corrado,Honda Crosstour
TV / Movies,In the MCU what is Doctor Strange's real name?,Stephen Strange,Steven Strange,Steffan Strange,Steven Unusual
TV / Movies,What is the name of Fry's robot best friend in Futurama?,Bender,Mr Roboto,Belcher,Beeper
TV / Movies,Who is the villain protagonist of American Psycho?,Patrick Bateman,Norman Bates,Patrick Bates,Norman Bateman
TV / Movies,Who is Ross' love interest in Friends?,Rachel Green,Phoebe Buffay,Monica Geller,No love interest
TV / Movies,What planet did Luke Skywalker train with Yoda on in Star Wars?,Dagobah,Hoth,Tatooine,Naboo
TV / Movies,What character in The Bee Movie said the line Ya Like Jazz?,Barry B Benson,Ken,Vanessa Bloome,Adam Flayman
TV / Movies,What character did Heath Ledger play in The Dark Knight?,Joker,Batman,Jim Gordon,Two-Face
TV / Movies,What is the name of the youngest child in the Simpsons?,Maggie Simpson,Bart Simpson,Lisa Simpson,Milhouse Simpson
TV / Movies,What is the name of Morty's sister in Rick and Morty?,Summer Smith,Autumn Smith,Winter Smith,Spring Smith
TV / Movies,Which character in The Haunting of Hill House says Fother Mucker?,Steven Crain,Luke Crain,Eleanor Crain,Theodora Crain
TV / Movies,What is the name of the taxi driver in Deadpool?,Dopinder,Weasel,Bob,Buck
